feature,dataset,Configuration,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
classes,D2.R,C2.1,0.5,3,fold_5,15.55555556,10.39177489,10.88245088,0.082836787,10.35860728
classes,D2.R,C2.2,0.5,5,fold_1,31,20.17705905,22.84908392,0.084325814,14.04886421
classes,D2.R,C2.2,0.5,5,fold_2,32.94117647,26.17456073,25.5695685,0.084883648,13.84731746
classes,D2.R,C2.2,0.5,5,fold_3,34.11764706,22.33426704,25.07117458,0.085092741,11.85484843
classes,D2.R,C2.2,0.5,5,fold_4,20,16.15079365,16.72056014,0.084416477,9.060354333
classes,D2.R,C2.2,0.5,5,fold_5,23.33333333,14.19142586,16.94730059,0.084155215,12.01929466
classes,D2.R,C2.3,0.5,10,fold_1,24.09090909,32.58290951,26.46516361,0.086259994,13.14388527
classes,D2.R,C2.3,0.5,10,fold_2,18.88888889,22.08923384,19.40251404,0.085888876,10.9593146
classes,D2.R,C2.3,0.5,10,fold_3,35.26315789,43.93049933,34.95825713,0.084641394,14.49839175
classes,D2.R,C2.3,0.5,10,fold_4,26,30.21317571,26.29819268,0.085173357,10.02697936
classes,D2.R,C2.3,0.5,10,fold_5,23.68421053,25.99415205,23.77325967,0.08619887,10.16123184
classes,D2.R,C3.1,0.8,3,fold_1,17.39130435,8.720826275,10.96447793,0.094288308,20.08945155
classes,D2.R,C3.1,0.8,3,fold_2,10.52631579,4.944178628,6.432748538,0.17123595,54.01446881
classes,D2.R,C3.1,0.8,3,fold_3,11.11111111,6.201814059,7.777196349,0.182043575,49.6419162
classes,D2.R,C3.1,0.8,3,fold_4,14.28571429,6.931216931,9.176802034,0.184872139,54.92868619
classes,D2.R,C3.1,0.8,3,fold_5,8.771929825,6.973684211,7.385509228,0.175061213,43.46148551
classes,D2.R,C3.2,0.8,5,fold_1,27.5,25.91810967,25.0855279,0.173108637,68.72724228
classes,D2.R,C3.2,0.8,5,fold_2,24.21052632,21.71470343,22.32001916,0.11587818,34.73546836
classes,D2.R,C3.2,0.8,5,fold_3,20,16.47926952,16.71968128,0.087462197,20.22290473
classes,D2.R,C3.2,0.8,5,fold_4,19.13043478,16.24396135,16.35345331,0.086752581,21.86464131
classes,D2.R,C3.2,0.8,5,fold_5,20,19.2101285,18.59197137,0.086960861,18.01512643
classes,D2.R,C3.3,0.8,10,fold_1,20.8,34.87619048,25.17492116,0.096002417,26.4187009
classes,D2.R,C3.3,0.8,10,fold_2,22.63157895,33.54921394,26.36640621,0.092880124,24.74550841
classes,D2.R,C3.3,0.8,10,fold_3,16.08695652,23.72906079,18.34016935,0.09808107,25.21245289
classes,D2.R,C3.3,0.8,10,fold_4,25.65217391,36.66886254,29.17598483,0.112950387,29.17265364
classes,D2.R,C3.3,0.8,10,fold_5,19.52380952,27.36394558,22.23912147,0.115804309,24.18839463
classes,D2.S,C1.1,0.2,3,fold_1,66.66666667,11.25,18.8034188,0.013003707,0.6533705
classes,D2.S,C1.1,0.2,3,fold_2,33.33333333,7.878787879,12.6984127,0.031071901,0.540830016
classes,D2.S,C1.1,0.2,3,fold_3,33.33333333,7.5,12.22222222,0.009062052,0.477106094
classes,D2.S,C1.1,0.2,3,fold_4,33.33333333,5.572755418,9.545454545,0.010082603,0.563198686
classes,D2.S,C1.1,0.2,3,fold_5,50,11.11111111,17.85714286,0.031063914,0.467836261
classes,D2.S,C2.1,0.2,5,fold_1,50,24.88095238,31.73076923,0.01054436,0.465606868
classes,D2.S,C2.1,0.2,5,fold_2,40,19.6969697,24.98353096,0.027039925,0.441162268
classes,D2.S,C2.1,0.2,5,fold_3,55,27.65151515,35.68202631,0.024276912,0.286515951
classes,D2.S,C2.1,0.2,5,fold_4,35,19.08730159,23.89328063,0.01054889,0.413613856
classes,D2.S,C2.1,0.2,5,fold_5,51.66666667,18.98148148,26.19047619,0.024527947,0.521490733
classes,D2.S,C3.1,0.2,10,fold_1,13.33333333,18.08006536,14.04558405,0.017305136,0.221562545
classes,D2.S,C3.1,0.2,10,fold_2,30,30.77777778,28.44444444,0.018138742,0.228962183
classes,D2.S,C3.1,0.2,10,fold_3,28.33333333,25.68226121,25.29599862,0.016762654,0.264328718
classes,D2.S,C3.1,0.2,10,fold_4,30,27.08333333,27.89432789,0.021439433,0.35038662
classes,D2.S,C3.1,0.2,10,fold_5,40,29.39799331,31.17259552,0.009885192,0.465081275
classes,D2.S,C2.1,0.5,3,fold_1,19.04761905,12.73809524,13.47041847,0.016053711,0.764000586
classes,D2.S,C2.1,0.5,3,fold_2,20,8.205128205,10.88095238,0.019670916,0.670915794
classes,D2.S,C2.1,0.5,3,fold_3,14.28571429,4.978354978,7.256235828,0.015229225,0.622902427
classes,D2.S,C2.1,0.5,3,fold_4,20,5.210084034,8,0.024318123,0.887299252
classes,D2.S,C2.1,0.5,3,fold_5,11.11111111,2.832244009,4.444444444,0.025521159,0.883607864
classes,D2.S,C2.2,0.5,5,fold_1,25.71428571,12.82467532,16.99256626,0.016881977,0.859259469
classes,D2.S,C2.2,0.5,5,fold_2,23.33333333,18.21548822,17.97619048,0.018737038,1.14296627
classes,D2.S,C2.2,0.5,5,fold_3,25,14.91319444,17.7994228,0.026648998,0.955857813
classes,D2.S,C2.2,0.5,5,fold_4,16.66666667,10.16865079,11.01712615,0.018654227,0.846712192
classes,D2.S,C2.2,0.5,5,fold_5,22.85714286,14.8962149,17.423846,0.020338876,0.869390147
classes,D2.S,C2.3,0.5,10,fold_1,22.85714286,24.6031746,23.10150376,0.021733148,0.977998086
classes,D2.S,C2.3,0.5,10,fold_2,31.25,40.59053885,30.93787439,0.023599148,1.093268782
